state,county,key,primary_search_url,source,active,confidence_base,quality,version
AK,Anchorage,AK-Anchorage,https://www.muni.org/pw/dfhwbtta/,Base,true,0.78,ok,1
AK,Matanuska Susitna,AK-MatanuskaSusitna,https://myproperty.matsugov.us/,Search,true,0.92,ok,1
AL,Baldwin,AL-Baldwin,https://baldwinproperty.countygovservices.com/Property/Search,Search,true,0.92,ok,1
AL,Barbour,AL-Barbour,https://barbour.capturecama.com/propsearch,Search,true,0.92,ok,1
AL,Blount,AL-Blount,http://www.deltacomputersystems.com/AL/AL08/,Base,false,0.78,ok,1
AL,Calhoun,AL-Calhoun,https://altags.com/calhoun_revenue/,Base,true,0.78,ok,1
AL,Chambers,AL-Chambers,https://www.ingproperty.com/Chambers_Revenue/property.aspx,Search,true,0.88,ok,1
AL,Cherokee,AL-Cherokee,https://cherokeeproperty.countygovservices.com/Property/Search,Search,true,0.92,ok,1
AL,Choctaw,AL-Choctaw,https://www.ingproperty.com/Choctaw_Revenue/property.aspx,Search,true,0.92,ok,1
AL,Coffee,AL-Coffee,https://www.coffeecountyrevenue.com/property.html,Base,true,0.88,ok,1
AL,Colbert,AL-Colbert,http://www.deltacomputersystems.com/AL/AL20/,Base,true,0.78,ok,1
AL,Cullman,AL-Cullman,http://www.deltacomputersystems.com/AL/AL25/,Base,false,0.78,ok,1
AL,Dale,AL-Dale,http://www.alabamagis.com/Dale/CamaTemplates/reports/,Base,true,0.78,ok,1
AL,De Kalb,AL-DeKalb,https://dekalbproperty.assurancegov.com/Property/Search,Search,true,0.92,ok,1
AL,Elmore,AL-Elmore,http://www.elmorerevenuecommissioner.com/,Base,true,0.78,ok,1
AL,Escambia,AL-Escambia,https://altags.com/Escambia_License/property.aspx,Search,true,0.92,ok,1
AL,Etowah,AL-Etowah,https://etowahproperty.assurancegov.com/Property/Search,Search,true,0.92,ok,1
AL,Franklin,AL-Franklin,https://franklinproperty.countygovservices.com/Property/Search,Search,true,0.92,ok,1
AL,Houston,AL-Houston,http://www.houstoncounty.org/Revenue/record/,Base,true,0.78,ok,1
AL,Jackson,AL-Jackson,http://www.deltacomputersystems.com/AL/AL39/,Base,false,0.78,ok,1
AL,Jefferson,AL-Jefferson,http://tc.jeffcointouch.com/taxcollection/ASP/,Base,false,0.78,ok,1
AL,Lauderdale,AL-Lauderdale,http://www.deltacomputersystems.com/AL/AL41/,Base,true,0.78,ok,1
AL,Lawrence,AL-Lawrence,https://lawrenceproperty.countygovservices.com/Property/Search,Search,true,0.92,ok,1
AL,Lee,AL-Lee,http://www.deltacomputersystems.com/AL/AL43/,Base,true,0.78,ok,1
AL,Limestone,AL-Limestone,http://www.limestonerevenue.net/PRC/PublicPRC/,Base,true,0.78,ok,1
AL,Madison,AL-Madison,http://www.deltacomputersystems.com/AL/AL47/,Base,false,0.78,ok,1
AL,Marshall,AL-Marshall,https://marshall.capturecama.com/propsearch,Search,true,0.88,ok,1
AL,Mobile,AL-Mobile,https://mobile.capturecama.com/propsearch,Search,true,0.92,ok,1
AL,Montgomery,AL-Montgomery,https://montgomery.capturecama.com/propsearch,Search,false,0.92,ok,1
AL,Morgan,AL-Morgan,https://morgan.capturecama.com/propsearch,Search,true,0.92,ok,1
AL,Russell,AL-Russell,https://russell.capturecama.com/propsearch,Search,true,0.88,ok,1
AL,Shelby,AL-Shelby,https://ptc.shelbyal.com/propsearch,Search,true,0.92,ok,1
AL,St Clair,AL-StClair,http://www.deltacomputersystems.com/,Base,true,0.78,ok,1
AL,Talladega,AL-Talladega,https://talladegaproperty.countygovservices.com/Property/Property/Search,Search,true,0.92,ok,1
AL,Tallapoosa,AL-Tallapoosa,http://tallapoosapropertytax.com/taxes/,Base,true,0.78,ok,1
AL,Tuscaloosa,AL-Tuscaloosa,https://www.payyourpropertytax.com/tuscaloosa/la/,Base,false,0.78,ok,1
AL,Walker,AL-Walker,http://www.walkercountyrevenue.com/,Base,true,0.78,ok,1
AL,Winston,AL-Winston,https://winstonproperty.assurancegov.com/Property/Search,Search,true,0.92,ok,1
AR,Arkansas,AR-Arkansas,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Baxter,AR-Baxter,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Benton,AR-Benton,https://bentoncountyar.gov/collector/,Base,true,0.92,ok,1
AR,Boone,AR-Boone,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Calhoun,AR-Calhoun,https://www.arcountydata.com/propsearch.asp?county=Calhoun&s=T,Search,true,0.92,ok,1
AR,Carroll,AR-Carroll,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Chicot,AR-Chicot,https://www.arcountydata.com/propsearch.asp?county=Chicot&s=T,Search,true,0.92,ok,1
AR,Clay,AR-Clay,https://www.arcountydata.com/propsearch.asp?county=Clay&s=T,Search,true,0.92,ok,1
AR,Cleburne,AR-Cleburne,https://www.arcountydata.com/propsearch.asp?county=Cleburne&s=T,Search,true,0.92,ok,1
AR,Columbia,AR-Columbia,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Craighead,AR-Craighead,https://www.arcountydata.com/propsearch.asp?county=Craighead&s=T,Search,true,0.92,ok,1
AR,Crawford,AR-Crawford,https://www.arcountydata.com/propsearch.asp?county=Benton,Search,true,0.92,ok,1
AR,Dallas,AR-Dallas,https://www.arcountydata.com/propsearch.asp?county=Dallas&s=T,Search,true,0.92,ok,1
AR,Desha,AR-Desha,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Faulkner,AR-Faulkner,https://www.arcountydata.com/propsearch.asp?county=Faulkner&s=T,Search,true,0.92,ok,1
AR,Fulton,AR-Fulton,https://www.arcountydata.com/propsearch.asp?county=Fulton&s=T,Search,true,0.92,ok,1
AR,Grant,AR-Grant,https://www.arcountydata.com/propsearch.asp?county=Grant&s=T,Search,true,0.92,ok,1
AR,Greene,AR-Greene,https://www.arcountydata.com/propsearch.asp?county=Greene&s=T,Search,true,0.92,ok,1
AR,Hempstead,AR-Hempstead,https://www.arcountydata.com/propsearch.asp?county=Hempstead&s=T,Search,true,0.92,ok,1
AR,Howard,AR-Howard,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Izard,AR-Izard,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Jackson,AR-Jackson,https://www.arcountydata.com/propsearch.asp?county=Jackson&s=T,Search,true,0.92,ok,1
AR,Johnson,AR-Johnson,https://www.arcountydata.com/propsearch.asp?county=Johnson&s=T,Search,true,0.92,ok,1
AR,Lawrence,AR-Lawrence,https://www.arcountydata.com/propsearch.asp?county=Lawrence&s=T,Search,true,0.92,ok,1
AR,Little River,AR-LittleRiver,https://www.arcountydata.com/propsearch.asp?county=Little%20River&s=T,Search,true,0.92,ok,1
AR,Logan,AR-Logan,https://www.arcountydata.com/propsearch.asp?county=Logan&s=T,Search,true,0.92,ok,1
AR,Lonoke,AR-Lonoke,http://www.arcountydata.com/,Base,true,0.78,ok,1
AR,Madison,AR-Madison,https://www.arcountydata.com/propsearch.asp?county=Madison&s=T,Search,true,0.92,ok,1
AR,Mississippi,AR-Mississippi,https://www.arcountydata.com/propsearch.asp?county=Mississippi&s=T,Search,true,0.92,ok,1
AR,Monroe,AR-Monroe,https://www.arcountydata.com/propsearch.asp?county=Monroe&s=T,Search,true,0.92,ok,1
AR,Montgomery,AR-Montgomery,https://www.arcountydata.com/propsearch.asp?county=Montgomery&s=T,Search,true,0.92,ok,1
