state,county,key,url,source,status,kind,finalUrl
AK,Anchorage,AK-Anchorage,https://www.muni.org/pw/dfhwbtta/,Base,200,ok,https://property.muni.org/search/commonsearch.aspx?mode=realprop
AK,Matanuska Susitna,AK-MatanuskaSusitna,https://myproperty.matsugov.us/,Search,200,ok,https://myproperty.matsu.gov/
AL,Baldwin,AL-Baldwin,https://baldwinproperty.countygovservices.com/Property/Search,Search,200,ok,https://baldwinproperty.countygovservices.com/Property/Search
AL,Barbour,AL-Barbour,https://barbour.capturecama.com/propsearch,Search,200,ok,https://barbour.capturecama.com/propsearch
AL,Calhoun,AL-Calhoun,https://altags.com/calhoun_revenue/,Base,200,ok,https://altags.com/calhoun_revenue/
AL,Chambers,AL-Chambers,https://www.ingproperty.com/Chambers_Revenue/property.aspx,Search,200,ok,https://www.ingproperty.com/Chambers_Revenue/property.aspx
AL,Cherokee,AL-Cherokee,https://cherokeeproperty.countygovservices.com/Property/Search,Search,200,ok,https://cherokeeproperty.countygovservices.com/Property/Search
AL,Choctaw,AL-Choctaw,https://www.ingproperty.com/Choctaw_Revenue/property.aspx,Search,200,ok,https://www.ingproperty.com/Choctaw_Revenue/property.aspx
AL,Coffee,AL-Coffee,https://www.coffeecountyrevenue.com/property.html,Base,200,ok,https://www.coffeecountyrevenue.com/property.html
AL,Colbert,AL-Colbert,http://www.deltacomputersystems.com/AL/AL20/,Base,200,ok,https://www.deltacomputersystems.com/AL/AL20/
AL,Dale,AL-Dale,http://www.alabamagis.com/Dale/CamaTemplates/reports/,Base,503,gateway_soft,https://www.alabamagis.com/Dale/CamaTemplates/reports/
AL,De Kalb,AL-DeKalb,https://dekalbproperty.assurancegov.com/Property/Search,Search,200,ok,https://dekalbproperty.assurancegov.com/Property/Search
AL,Elmore,AL-Elmore,http://www.elmorerevenuecommissioner.com/,Base,200,ok,http://www.elmorerevenuecommissioner.com/
AL,Escambia,AL-Escambia,https://altags.com/Escambia_License/property.aspx,Search,200,ok,https://altags.com/Escambia_License/property.aspx
AL,Etowah,AL-Etowah,https://etowahproperty.assurancegov.com/Property/Search,Search,200,ok,https://etowahproperty.assurancegov.com/Property/Search
AL,Franklin,AL-Franklin,https://franklinproperty.countygovservices.com/Property/Search,Search,200,ok,https://franklinproperty.countygovservices.com/Property/Search
AL,Houston,AL-Houston,http://www.houstoncounty.org/Revenue/record/,Base,200,ok,https://houstoncountyal.gov/page/404/
AL,Jefferson,AL-Jefferson,https://www.jccal.org/,Base,200,ok,https://www.jccal.org/
AL,Lauderdale,AL-Lauderdale,http://www.deltacomputersystems.com/AL/AL41/,Base,200,ok,https://www.deltacomputersystems.com/AL/AL41/
AL,Lawrence,AL-Lawrence,https://lawrenceproperty.countygovservices.com/Property/Search,Search,200,ok,https://lawrenceproperty.countygovservices.com/Property/Search
AL,Lee,AL-Lee,http://www.deltacomputersystems.com/AL/AL43/,Base,200,ok,https://www.deltacomputersystems.com/AL/AL43/
AL,Limestone,AL-Limestone,https://www.limestonerevenue.net/PRC/PublicPRC/,Base,200,ok,https://www.limestonerevenue.net/PRC/PublicPRC/
AL,Marshall,AL-Marshall,https://marshall.capturecama.com/propsearch,Search,200,ok,https://marshall.capturecama.com/propsearch
AL,Mobile,AL-Mobile,https://mobile.capturecama.com/propsearch,Search,200,ok,https://mobile.capturecama.com/propsearch
AL,Montgomery,AL-Montgomery,https://montgomery.capturecama.com/,Search,200,ok,https://montgomery.capturecama.com/
AL,Morgan,AL-Morgan,https://morgan.capturecama.com/propsearch,Search,200,ok,https://morgan.capturecama.com/propsearch
